Date,Expiry,Strike,Call OI,Call Chg OI,Call Volume,Call Close,Put OI,Put Chg OI,Put Volume,Put Close
2026-06-17,2026-06-30,780.0,,,,,26250,0,1,0.2
2026-06-17,2026-06-30,800.0,89250,0,0,216.75,235500,-18750,89,0.15
2026-06-17,2026-06-30,820.0,6750,750,3,206.35,103500,1500,3,0.15
2026-06-17,2026-06-30,830.0,55500,0,0,150.8,111000,-10500,19,0.25
2026-06-17,2026-06-30,840.0,47250,0,0,128.1,205500,-2250,11,0.25
2026-06-17,2026-06-30,850.0,32250,0,0,174.6,361500,-32250,65,0.25
2026-06-17,2026-06-30,860.0,64500,0,0,150.0,313500,12000,25,0.3
2026-06-17,2026-06-30,870.0,87000,0,0,145.25,172500,-34500,100,0.3
2026-06-17,2026-06-30,880.0,115500,0,0,147.45,675000,-20250,181,0.35
2026-06-17,2026-06-30,890.0,199500,0,0,92.25,577500,-9000,162,0.4
2026-06-17,2026-06-30,900.0,424500,-13500,78,127.75,1712250,-25500,673,0.55
2026-06-17,2026-06-30,910.0,222750,0,0,111.25,213750,9750,202,0.55
2026-06-17,2026-06-30,920.0,102000,0,8,104.4,648750,-163500,846,0.7
2026-06-17,2026-06-30,930.0,279000,-2250,3,98.0,1443750,-10500,1150,0.8
2026-06-17,2026-06-30,940.0,637500,-25500,47,87.8,1003500,-111000,1534,0.95
2026-06-17,2026-06-30,950.0,1591500,-68250,278,77.5,2464500,-171750,3021,1.2
2026-06-17,2026-06-30,960.0,1159500,-48750,223,68.5,1755000,-121500,4673,1.6
2026-06-17,2026-06-30,970.0,1412250,-131250,839,59.35,1856250,-199500,5875,2.1
2026-06-17,2026-06-30,980.0,1524000,-52500,1072,50.2,2232000,-11250,11088,2.95
2026-06-17,2026-06-30,990.0,855000,-67500,454,41.2,1525500,-151500,9537,4.25
2026-06-17,2026-06-30,1000.0,4242750,-639000,4188,33.35,4200000,103500,10424,6.15
2026-06-17,2026-06-30,1010.0,1604250,-279750,5290,25.75,1682250,15000,7678,8.9
2026-06-17,2026-06-30,1020.0,3761250,-465000,15255,19.85,1813500,233250,7508,12.45
2026-06-17,2026-06-30,1030.0,2859750,-243750,13463,14.5,654750,-240750,4070,17.25
2026-06-17,2026-06-30,1040.0,2965500,177000,8793,10.05,581250,57750,1107,23.0
2026-06-17,2026-06-30,1050.0,4536000,-408000,11663,7.25,1185750,-66000,501,29.95
2026-06-17,2026-06-30,1060.0,2778000,-104250,6854,4.85,96750,7500,89,36.75
2026-06-17,2026-06-30,1070.0,1185000,99750,6910,3.35,87000,-750,60,46.15
2026-06-17,2026-06-30,1080.0,1139250,-6000,3922,2.35,255750,-6000,35,57.6
2026-06-17,2026-06-30,1090.0,771750,98250,1559,1.65,72750,0,0,66.65
2026-06-17,2026-06-30,1100.0,5511750,8250,5407,1.3,2346750,-12750,68,73.85
2026-06-17,2026-06-30,1110.0,723750,117750,1118,0.95,6750,-6000,9,89.0
2026-06-17,2026-06-30,1120.0,750000,-47250,708,0.8,282750,2250,48,92.1
2026-06-17,2026-06-30,1130.0,558000,20250,629,0.7,4500,0,0,122.85
2026-06-17,2026-06-30,1140.0,261750,-25500,125,0.6,12000,0,0,116.0
2026-06-17,2026-06-30,1150.0,970500,-21000,391,0.55,1895250,-750,1,125.8
2026-06-17,2026-06-30,1160.0,264000,-6750,89,0.5,24000,-1500,2,142.0
2026-06-17,2026-06-30,1170.0,174750,6750,73,0.45,,,,
2026-06-17,2026-06-30,1180.0,200250,3000,8,0.35,21000,0,0,151.0
2026-06-17,2026-06-30,1200.0,1131750,24000,229,0.3,258000,-750,4,172.5
2026-06-17,2026-06-30,1220.0,144000,-6750,9,0.2,1500,0,0,234.0
2026-06-17,2026-06-30,1240.0,93750,750,1,0.25,6000,0,0,268.0
2026-06-17,2026-06-30,1260.0,419250,-7500,38,0.2,54750,-3750,5,234.0
