Rank,Symbol,Company,% Change,Close,Prev Close,Volume,Turnover (Rs Lakhs),Delivery %
1,NBIFIN,N. B. I. Industrial Finance Company Limited,19.76,2301.4,1921.6,43534,990.65,12.54
2,PPAP,PPAP Automotive Limited,16.9,323.37,276.63,2115337,6564.94,18.39
3,IONEXCHANG,ION Exchange (India) Limited,16.43,468.3,402.2,12898024,59253.82,12.79
4,GODREJIND,Godrej Industries Limited,16.28,1417.7,1219.2,2661745,36711.68,14.44
5,J&KBANK,The Jammu & Kashmir Bank Limited,14.39,192.65,168.41,22820672,42401.5,32.65
6,ZENSARTECH,Zensar Technologies Limited,13.6,508.25,447.4,47030557,234955.66,6.06
7,STALLION,Stallion India Fluorochemicals Limited,12.5,204.88,182.12,16334635,33484.4,16.03
8,MUTHOOTMF,Muthoot Microfin Limited,11.88,235.26,210.28,19681749,46055.08,8.2
9,GREAVESCOT,Greaves Cotton Limited,11.12,263.6,237.23,20117335,52018.53,16.93
10,SCANSTL,Scan Steels Limited,11.1,47.45,42.71,1181772,557.01,39.83
11,CEWATER,Concord Enviro Systems Limited,10.36,352.6,319.5,2059393,7235.51,10.03
12,MOBIKWIK,One Mobikwik Systems Limited,10.29,221.45,200.79,9125473,19937.02,20.24
13,KAPSTON,Kapston Services Limited,10.1,415.3,377.2,479913,1978.51,23.52
14,ELLEN,Ellenbarrie Industrial Gases Limited,10.0,294.25,267.5,1669388,4764.38,50.28
15,LANCORHOL,Lancor Holdings Limited,10.0,27.5,25.0,802780,211.97,79.04
16,JITFINFRA,JITF Infralogistics Limited,10.0,325.1,295.55,35090,113.59,93.49
17,INDIANB,Indian Bank,9.78,870.7,793.15,17690322,151228.56,17.21
18,BFINVEST,BF Investment Limited,9.54,487.25,444.8,2573927,12617.24,6.0
19,NEWGEN,Newgen Software Technologies Limited,9.3,517.2,473.2,29948995,156817.68,8.07
20,EMSLIMITED,EMS Limited,9.27,458.15,419.3,2680107,11915.02,33.55
21,BLUEJET,Blue Jet Healthcare Limited,8.62,624.05,574.5,4844866,29639.71,21.94
22,NILE,Nile Limited,8.58,1916.3,1764.8,33291,640.2,54.57
23,MRPL,Mangalore Refinery and Petrochemicals Limited,8.56,162.49,149.68,37336927,59657.78,18.27
24,SHOPERSTOP,Shoppers Stop Limited,8.22,365.25,337.5,4346397,16108.36,5.92
25,BETA,Beta Drugs Limited,8.06,2366.8,2190.3,95317,2205.41,35.64
